field,Rater.Gender,Subj.Gender,Slut,Age Group,Age,Had Sex?,Age 1st time,Num. Partners,Sex Preference
1,Male,men,15,young,22,yes,16,14,females
2,Male,men,15,young,18,yes,14,7,females
3,Male,men,19,young,19,yes,14,12,females
4,Male,men,25,young,20,yes,13,32,males
5,Male,men,20,young,22,yes,15,18,females
6,Male,men,18,young,21,yes,13,7,females
7,Male,men,15,young,21,yes,13,17,females
8,Male,men,8,young,19,no,0,0,females
9,Male,men,3,young,24,yes,17,1,females
10,Male,men,2,young,20,yes,13,9,females
11,Male,men,15,young,24,yes,12,12,females
12,Male,men,22,young,20,yes,16,2,females
13,Male,men,15,young,18,yes,14,11,females
14,Male,men,7,young,20,yes,16,7,females
15,Male,men,10,young,23,yes,15,12,females
16,Male,men,20,young,25,yes,16,28,females
17,Male,women,2,young,24,yes,19,22,females
18,Male,women,5,young,22,yes,16,19,females
19,Male,women,1,young,22,yes,18,25,females
20,Male,women,2,young,24,yes,17,9,females
21,Male,women,5,young,25,yes,16,33,females
22,Male,women,20,young,21,yes,18,22,females
23,Male,women,1,young,25,yes,14,40,females
24,Male,women,3,young,24,yes,19,3,males
25,Male,women,10,young,21,yes,17,14,females
26,Male,women,1,young,25,yes,16,15,females
27,Male,women,3,young,18,yes,17,1,females
28,Male,women,1,young,18,yes,15,3,females
29,Male,women,6,young,25,yes,15,35,females
30,Male,women,3,young,20,yes,16,12,females
31,Male,women,5,young,21,yes,16,16,females
32,Male,women,6,young,21,yes,14,12,females
33,Male,women,10,young,23,yes,13,33,females
34,Male,men,5,old,71,yes,23,1,females
35,Male,men,10,old,64,yes,20,10,females
36,Male,men,3,old,83,yes,16,10,females
37,Male,men,3,old,66,yes,18,5,females
38,Male,men,3,old,58,yes,21,2,females
39,Male,men,3,old,79,yes,12,3,females
40,Male,men,2,old,51,yes,18,5,females
41,Male,men,2,old,67,yes,17,8,females
42,Male,men,5,old,55,yes,20,5,females
43,Male,men,2,old,75,yes,18,9,females
44,Male,men,3,old,81,yes,19,4,females
45,Male,men,5,old,90,yes,21,3,females
46,Male,men,1,old,54,yes,17,7,females
47,Male,men,5,old,72,yes,25,5,females
48,Male,women,4,old,61,yes,12,61,females
49,Male,women,3,old,74,yes,17,3,females
50,Male,women,21,old,69,yes,24,15,females
51,Male,women,3,old,82,yes,37,1,females
52,Male,women,4,old,52,yes,17,8,females
53,Male,women,3,old,74,yes,20,6,females
54,Male,women,2,old,55,yes,18,10,females
55,Male,women,1,old,67,yes,20,8,females
56,Male,women,1,old,84,yes,17,5,females
57,Male,women,3,old,52,yes,15,12,females
58,Male,women,5,old,61,yes,22,2,females
59,Male,women,1,old,50,yes,17,5,females
60,Male,women,1,old,78,yes,21,8,females
61,Female,men,5,young,21,yes,14,7,males
62,Female,men,10,young,19,yes,13,3,males
63,Female,men,15,young,21,yes,21,1,males
64,Female,men,5,young,19,yes,17,5,males
65,Female,men,3,young,25,yes,14,1,males
66,Female,men,5,young,18,yes,18,8,males
67,Female,men,20,young,23,yes,19,5,males
68,Female,men,10,young,22,yes,17,8,males
69,Female,men,2,young,21,yes,16,4,males
70,Female,men,15,young,19,yes,16,6,males
71,Female,men,10,young,23,yes,17,4,males
72,Female,men,4,young,24,yes,14,5,males
73,Female,men,4,young,25,yes,16,5,males
74,Female,men,10,young,22,yes,18,8,males
75,Female,men,5,young,18,yes,15,2,males
76,Female,men,4,young,20,yes,17,3,males
77,Female,women,15,young,21,yes,16,5,males
78,Female,women,10,young,21,yes,16,6,males
79,Female,women,2,young,20,yes,17,1,males
80,Female,women,20,young,25,yes,15,5,males
81,Female,women,8,young,22,yes,17,4,males
82,Female,women,12,young,18,yes,13,4,males
83,Female,women,5,young,18,yes,14,3,males
84,Female,women,5,young,24,yes,22,1,females
85,Female,women,2,young,20,yes,18,1,males
86,Female,women,5,young,18,yes,16,5,males
87,Female,women,10,young,22,yes,15,5,males
88,Female,women,2,young,18,yes,17,1,males
89,Female,women,8,young,25,yes,16,5,males
90,Female,men,10,old,50,yes,18,6,males
91,Female,men,13,old,63,yes,23,1,males
92,Female,men,3,old,72,yes,20,1,males
93,Female,men,2,old,71,yes,23,1,males
94,Female,men,5,old,53,yes,18,2,males
95,Female,men,1,old,50,yes,19,1,males
96,Female,men,2,old,70,yes,18,2,males
97,Female,men,3,old,58,yes,18,1,males
98,Female,men,3,old,50,yes,25,2,males
99,Female,men,5,old,60,yes,20,1,males
100,Female,men,4,old,62,yes,10,1,males
101,Female,men,2,old,70,yes,23,5,males
102,Female,men,4,old,55,yes,19,1,males
103,Female,women,1,old,75,yes,20,1,males
104,Female,women,1,old,80,yes,25,1,males
105,Female,women,2,old,73,yes,20,3,males
106,Female,women,5,old,73,yes,20,1,males
107,Female,women,3,old,80,yes,19,2,males
108,Female,women,10,old,70,yes,22,1,males
109,Female,women,6,old,73,yes,21,1,males
110,Female,women,5,old,61,yes,21,3,males
111,Female,women,1,old,55,yes,25,1,males
112,Female,women,1,old,72,yes,21,1,males
113,Female,women,4,old,80,yes,19,3,males
114,Female,women,1,old,63,yes,20,1,males
115,Female,women,1,old,75,yes,22,2,males
